,Unnamed: 0,Kilometrage,Annee,Energie,BoiteVitesse,PuissanceFiscale,Carrosserie,Prix,Couleur,Marque,Modele
302,302,120000,1.202,Essence,Automatique,6,Coupé,46000,Gris anthracite,DS,3
303,303,59000,12.2017,Essence,Automatique,10,Berline,168000,Gris Shark,BMW,SERIE 5
304,304,150000,6.2016,Essence,Automatique,8,Berline,120000,Blanc,MERCEDES-BENZ,CLASSE C
305,305,123000,3.2012,Diesel,Manuelle,6,Citadine,36000,Blanc,OPEL,MERIVA
306,306,112000,11.2015,Essence,Manuelle,7,Berline,62000,Noir,VOLKSWAGEN,PASSAT
307,307,160000,4.2016,Essence,Automatique,8,Compacte,45000,Bleu,HYUNDAI,VELOSTER
308,308,130000,10.2016,Diesel,Automatique,10,SUV/4x4,100000,Blanc,KIA,SPORTAGE
309,309,283000,6.2008,Essence,Manuelle,7,Citadine,36900,Noir,BMW,SERIE 1
310,310,1700,6.2023,Essence,Automatique,10,SUV/4x4,160000,Gris anthracite,HYUNDAI,TUCSON
311,311,174000,11.2011,Diesel,Automatique,15,SUV/4x4,150000,Noir,PORSCHE,CAYENNE
312,312,95000,11.2017,Essence,Automatique,8,Berline,109000,Noir,MERCEDES-BENZ,CLASSE C
313,313,188000,3.2014,Essence,Manuelle,5,Compacte,38000,Noir,SEAT,LEON
314,314,133000,10.2019,Essence,Automatique,8,Berline,61000,Noir,SKODA,OCTAVIA
315,315,168000,11.2011,Essence,Manuelle,7,Berline,37000,Beige,AUDI,A4
316,316,235000,10.2009,Diesel,Automatique,8,Berline,54000,Blanc,MERCEDES-BENZ,CLASSE C
317,317,16000,1.2021,Essence,Manuelle,6,Citadine,128000,Gris Shark,GOLF,8
318,318,256000,9.2017,Diesel,Manuelle,6,Utilitaire,38000,Blanc,FORD,TRANSIT
319,319,53000,1.2019,Essence,Automatique,6,SUV/4x4,107000,Rouge,AUDI,Q2
320,320,160000,10.2017,Diesel,Automatique,8,SUV/4x4,145000,Blanc,LAND ROVER,RANGE ROVER
321,321,68000,2.2018,Essence,Manuelle,5,Citadine,45500,Rouge,KIA,RIO
322,322,70000,4.2021,Essence,Manuelle,5,Compacte,36000,Rouge,NISSAN,MICRA
323,323,200000,8.2011,Essence,Automatique,6,Berline,32000,Gris argent,KIA,CERATO
324,324,114000,9.2016,Essence,Automatique,7,Autres,75000,Noir,BMW,SERIE 2
325,325,57000,8.202,Essence,Automatique,7,Berline,143000,Noir,BMW,SERIE 4
326,326,41000,4.2021,Essence,Automatique,9,Berline,185000,Noir,AUDI,Q3
327,327,27000,7.2022,Essence,Manuelle,7,SUV/4x4,70000,Noir,MG,ZS
328,328,130000,6.2018,Essence,Automatique,8,SUV/4x4,83000,Gris argent,KIA,SPORTAGE
329,329,226000,5.2012,Essence,Manuelle,7,Citadine,47000,Bleu,BMW,SERIE 1
330,330,50000,1.2021,Diesel,Automatique,15,SUV/4x4,380000,Gris Shark,LAND ROVER,RANGE ROVER
331,331,0,11.2023,Essence,Automatique,11,SUV/4x4,190000,Autre,CUPRA,FORMENTOR
332,332,101000,8.201,Essence,Manuelle,5,Compacte,27500,Blanc,SMART,FORTWO
333,333,370000,5.2002,Diesel,Manuelle,12,SUV/4x4,62000,Blanc,TOYOTA,PRADO
